conversations,source,score,split
"[{""from"": ""human"", ""value"": ""What is the purpose of the `data-action` attribute in Stimulus?""}, {""from"": ""gpt"", ""value"": ""The `data-action` attribute in Stimulus is used to define how a controller should respond to specific DOM events. It establishes a connection between a controller method, the controller's element, and a DOM event listener. For example, `data-action=\""click->gallery#next\""` specifies that when a `click` event occurs on the associated element, the `next` method of the `gallery` controller will be invoked.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""Can you explain the structure of an action descriptor in Stimulus?""}, {""from"": ""gpt"", ""value"": ""An action descriptor in Stimulus consists of three main parts: the event type, the controller identifier, and the method name. For instance, in the descriptor `click->gallery#next`: \n1. `click`: This is the DOM event to listen for.\n2. `gallery`: This signifies the controller that contains the method to be executed.\n3. `next`: This is the specific method that will be invoked when the event occurs. \nThus, an action descriptor effectively conveys what action should be taken in response to a specific event.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""What are some examples of shorthand action descriptors provided by Stimulus?""}, {""from"": ""gpt"", ""value"": ""Stimulus allows you to use shorthand for common element/event pairs by omitting the event name. Here are some examples:\n- For anchor (`<a>`) elements, the default event is `click`, so you can write `data-action=\""gallery#next\""` instead of `data-action=\""click->gallery#next\""`.\n- Similarly, for buttons, the shorthand would be applicable since they also respond to `click` events. The full set of shorthand pairs includes:\n  - a -> click\n  - button -> click\n  - details -> toggle\n  - form -> submit\n  - input -> input\n  - select -> change\n  - textarea -> input\nThis simplifies the code and improves readability.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""How does one filter keyboard events in Stimulus actions?""}, {""from"": ""gpt"", ""value"": ""In Stimulus, you can filter keyboard events by appending a key filter to an action descriptor. For example, if you want a method to be called only when the `Escape` key is pressed, you can add `.esc` to the action descriptor like this: \n```html\n<div data-controller=\""modal\"" data-action=\""keydown.esc->modal#close\"" tabindex=\""0\""></div>\n```\nThis configuration ensures that the `close` method of the `modal` controller will only be invoked when the `Escape` key is pressed. Stimulus supports various key filters, such as `enter`, `tab`, and arrow keys by implementing `.key` or `.modifier.key` combinations.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""Explain how to implement custom key mappings in Stimulus.""}, {""from"": ""gpt"", ""value"": ""To implement custom key mappings in Stimulus, you can extend the default schema by creating your custom key mapping. Begin by importing the `Application` and `defaultSchema` from Stimulus, and then create your custom schema by merging your added key with the default mappings. Here\u2019s an example that adds a custom mapping for the '@' symbol:\n```javascript\nimport { Application, defaultSchema } from \""@hotwired/stimulus\""\n\nconst customSchema = {\n  ...defaultSchema,\n  keyMappings: { ...defaultSchema.keyMappings, at: \""@\"" },\n}\n\nconst app = Application.start(document.documentElement, customSchema)\n```\nThis example will allow you to respond to an `at` key event in your controllers, providing a flexible way to handle any specific key interactions you require.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""What are global events in Stimulus and how do you use them?""}, {""from"": ""gpt"", ""value"": ""Global events in Stimulus refer to events that are dispatched on the global `window` or `document` objects. These events can be handled by appending `@window` or `@document` to the event name in the action descriptor. For example, to listen for the `resize` event on the window, you could set it up like so:\n```html\n<div data-controller=\""gallery\"" data-action=\""resize@window->gallery#layout\""></div>\n```\nThis setup means that whenever the browser window is resized, the `layout` method on the `gallery` controller will be called. This feature is useful for situations where the controller needs to respond to more global events rather than only events associated with specific elements.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""How do you specify action options in Stimulus action descriptors?""}, {""from"": ""gpt"", ""value"": ""Action options in Stimulus can be appended to action descriptors to specify additional settings for the DOM event listener. This is done by adding a colon followed by the option directly after the method name. Below is an example:\n```html\n<div data-controller=\""gallery\"" data-action=\""scroll->gallery#layout:!passive\""></div>\n```\nIn this example, `:!passive` indicates that the `passive` option is set to `false` for the event listener, which allows for the prevention of default actions. Other options include `:capture`, `:once`, `:stop`, and `:prevent`, each serving different purposes in controlling event behavior, such as stopping propagation or preventing default actions.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""What is the purpose of custom action options in Stimulus?""}, {""from"": ""gpt"", ""value"": ""Custom action options in Stimulus allow developers to implement additional, project-specific behaviors for their event handlers without modifying existing action options. They can be used to tailor how actions respond to events based on specific conditions. For example, you can create a custom action option called `:open` that evaluates whether a `<details>` element is toggled open or closed.\n```javascript\nimport { Application } from \""@hotwired/stimulus\""\n\nconst application = Application.start()\n\napplication.registerActionOption(\""open\"", ({ event }) => {\n  if (event.type == \""toggle\"") {\n    return event.target.open == true\n  } else {\n    return true\n  }\n})\n```\nIn this case, the custom option allows event handling to differ based on the state of the toggled element, enhancing the interaction capability of the Stimulus controllers.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""What properties and methods are available on event objects in Stimulus?""}, {""from"": ""gpt"", ""value"": ""In Stimulus, the event object passed to action methods contains several important properties and methods that provide context about the event. Here are some of them:\n- `event.type`: A string representing the name of the event (e.g., \""click\"").\n- `event.target`: The innermost element that dispatched the event (e.g., the button clicked).\n- `event.currentTarget`: The element to which the event listener is attached, which could be the element containing the `data-action` attribute or a document/window.\n- `event.params`: Any parameters passed by the action submitter element.\n\nAdditionally, key methods include:\n- `event.preventDefault()`: Cancels the default action associated with the event.\n- `event.stopPropagation()`: Prevents the event from bubbling up to ancestor elements, stopping other handlers from executing.""}]",knowledge/js/stimulus_docs/reference,1.0,train
"[{""from"": ""human"", ""value"": ""How can multiple actions be defined on a single element in Stimulus?""}, {""from"": ""gpt"", ""value"": ""In Stimulus, multiple actions can be defined on a single element by assigning a space-separated list of action descriptors to the `data-action` attribute. This allows one element to be tied to multiple controller methods. For example, consider an input element that highlights a field when focused and updates a search as the value changes:\n```html\n<input type=\""text\"" data-action=\""focus->field#highlight input->search#update\"">\n```\nIn this case, when the input receives focus, it triggers the `highlight` method of the `field` controller, and whenever the input value changes, it calls the `update` method of the `search` controller. The actions are executed in the order they are defined from left to right.""}]",knowledge/js/stimulus_docs/reference,1.0,train
