conversations,source,score,split
"[{""from"": ""human"", ""value"": ""What is the process for creating a survey site within LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""To create a survey site in LimeSurvey, follow these steps:\n1. **Log in** to your LimeSurvey account.\n2. Click on the ''Create survey site'' button after logging in.\n3. You will need to fill out the following fields:\n   - **Site name**: Enter a name for your survey site.\n   - **Domain name**: Choose a domain name from the dropdown menu.\n   - **Server location**: Select a server location for hosting your site.\n4. Click on the ''Save & Set Up LimeSurvey Site'' button.\n\nThe setup process may take up to 20 seconds, after which you will be redirected to your account page where you can access your survey site by clicking the ''View Survey Site'' link at the top of the page.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How can I change my password on the LimeSurvey platform?""}, {""from"": ""gpt"", ""value"": ""To change your password in LimeSurvey, you have two main options:\n1. **Using the Forgot your password?** button:\n   - Go to the LimeSurvey administration login page and click on the ''Forgot your password?'' link.\n   - Fill in the required fields and click the ''Check data'' button.\n   - You will receive an email with instructions to reset your password.\n\n2. **From your profile**:\n   - Click on your username in the upper right corner of the screen to access your profile.\n   - Select the ''Your Profile'' tab.\n   - Click on the ''Change password'' button, type in your current password and your new password (twice), then save the changes by clicking the ''Save'' button.\n\nIf you have superadmin permissions, you can also assist another user by using the ''User control panel'' to change their password.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What user preferences can be set in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""In LimeSurvey, users can set various preferences by accessing their account menu and viewing the ''Your account'' section. The main preferences include:\n1. **My Profile**: General details such as your email and full name.\n2. **My Personal Settings**: Options to choose the interface language, enable/disable HTML editor, and select the question type selector.\n3. **My Personal Menus**: A list of survey menus created by the user.\n4. **My Personal Menu Entries**: Customized menu entries available to the user.\n\nUsers can also change settings like the date format, HTML editor mode, and whether to show the script field when editing questions.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How can users manage their profile information in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""Users can manage their profile information in LimeSurvey by accessing the ''My profile'' tab found within their account settings. Here are the details they can manage:\n1. **Username**: Once set, the username cannot be changed through the interface; it is recommended to create a new user account if a change is needed.\n2. **Email**: Users can update their email by typing the new address and clicking ''Save''.\n3. **Full Name**: Users can enter their full name for identification purposes.\n4. **Password**: Users can change their password by providing the new password and confirming it before saving the changes.\n\nMake sure to save changes after editing any profile information.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What are the different HTML editor modes available in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""LimeSurvey provides several HTML editor modes to cater to different user needs:\n1. **Default**: Inherits the HTML editor mode chosen by the superadministrator from global settings.\n2. **Inline HTML Editor**: Selected by default, it allows users to edit in-line on the page.\n3. **Popup HTML Editor**: This mode uses a normal text editor by default but provides the option to open an HTML editor in a popup.\n4. **No HTML Editor**: Users can choose to disable the HTML editor and use only simple text input.\n\nUsers can select their preferred mode via their personal settings, and remember that the choice may affect performance particularly when editing multiple text boxes by reducing resource consumption.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How does LimeSurvey allow users to choose their interface language?""}, {""from"": ""gpt"", ""value"": ""In LimeSurvey, users can select their preferred interface language during the login process by using a dropdown list. This language preference is retained in their profile to automatically set the interface to the chosen language on subsequent logins. If, however, a LimeSurvey setup does not show the login page (for example, when using common authentication with other applications), users can still change their language preference by navigating to ''Your account'' under their username in the upper right corner and selecting the ''Your personal settings'' tab to use the interface language dropdown.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What options do users have for the question type selector in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""LimeSurvey provides users with flexibility in selecting question types through its question type selector. Users can choose:\n1. **Full Selector**: This option allows users to see a preview of the question types, making it easier to choose the right type for their survey questions.\n2. **Simple Selector**: This option presents a plain select box without previews, offering a more straightforward choice.\n3. **Default Option**: This refers to what the superadministrator has set in the global settings of the LimeSurvey installation, ensuring consistency across the platform.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What is the purpose of the Template Editor mode in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""The Template Editor mode in LimeSurvey allows users to edit survey templates effectively with three available options:\n1. **Default**: Inherits the template editor mode set at the global level.\n2. **Full Template Editor**: Provides an enhanced editing experience with syntax highlighting capabilities, making it easier to understand the HTML and CSS of the templates.\n3. **Simple Template Editor**: This option presents a basic editing field without advanced features.\n\nSelecting the appropriate mode depends on the user's familiarity with coding and their preferences for editing templates.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What does the ''Show script field'' setting do in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""The ''Show script field'' setting in LimeSurvey controls whether the script field, designed for entering JavaScript while editing questions, is displayed to the user. If this setting is enabled, users will have access to a dedicated area to input their custom JavaScript, allowing for enhanced interactivity in their surveys. If disabled, users will not see this option, enabling a simpler editing experience, which might be beneficial for users who do not require custom JavaScript in their surveys.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How can users manage their customized menus in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""Users in LimeSurvey can manage their customized menus through the ''Menu configuration'' option located within the main Configuration menu. This feature allows users to visualize and edit the customized menus they have created. Additionally, users can utilize the ''Menu entries configuration'' option to manage entries within their custom menus. This management capability offers flexibility in organizing the user interface to better fit individual survey management styles.""}]",knowledge/php/limesurvey,1.0,train
