conversations,source,score,split
"[{""from"": ""human"", ""value"": ""What is the purpose of the survey group functionality in LimeSurvey 3.xx?""}, {""from"": ""gpt"", ""value"": ""The survey group functionality in LimeSurvey 3.xx is designed to allow users to manage sets of surveys more effectively. It enables users to organize surveys into groups, which can help in applying common settings and themes to multiple surveys. This reduces redundancy and improves management efficiency, especially when dealing with a large number of surveys.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How do you create a new survey in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""To create a new survey in LimeSurvey, follow these steps:\n1. Go to the main menu of your LimeSurvey installation.\n2. Click the arrow next to the 'Surveys' option on the toolbar. This will display a drop-down menu.\n3. Select 'Create a new survey' from the drop-down list.\nAlternatively, you can click on the 'Create survey' box on the homepage to access the same functionality.\n\nOnce you reach the 'Create a new survey' page, you must enter the 'Survey title', which is a required field, and then click the 'Save' button to create your survey.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What options can be configured under Text Elements while creating a survey?""}, {""from"": ""gpt"", ""value"": ""Under the Text Elements tab in LimeSurvey while creating a survey, the following options can be configured:\n1. **Survey Title**: Set or change the title of the survey.\n2. **Create example question and question group**: If enabled, this option automatically adds an example question and question group upon saving the survey.\n3. **Base Language**: Define the main language of the survey. For additional languages, you must access the general settings afterward.\n4. **Description**: Add a survey description and optionally use HTML formatting if enabled in global settings.\n5. **End URL**: Specify a redirect URL after completion of the survey, which must be enabled in the Presentation & Navigation settings.\n6. **URL Description**: Add a brief description for the end URL if users are redirected to an unrelated webpage.\n7. **Date Format**: Choose a date format suitable for your audience's geographical location.\n8. **Decimal Mark**: Select the decimal marker, either dot (.) or comma (,), as per regional norms.\n9. **Welcome/End Messages**: Customize the introductory and concluding messages displayed to participants.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What are the general settings available when creating a survey?""}, {""from"": ""gpt"", ""value"": ""The General Settings tab in LimeSurvey allows you to configure several essential parameters for the survey, including:\n1. **Survey Owner**: Enter the actual name of the survey owner.\n2. **Administrator**: Specify the name of the administrator managing the survey.\n3. **Admin Email**: Provide the email address of the administrator for notifications.\n   - Note: It is advisable to use an email address associated with the local domain as many SMTP servers discard emails from external domains.\n4. **Bounce Email**: Indicate where delivery error notifications (bounced emails) should be sent.\n5. **Fax To**: Input a fax number for printable surveys.\n6. **Group**: Choose a survey group to categorize the survey.\n7. **Format**: Select the question display format among 'Question by Question', 'Group by Group', or 'All In One'.\n8. **Template**: Select the template for visual layout. More information on creating unique templates is often available in the documentation.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How can you customize participant settings in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""Participant settings in LimeSurvey can be customized under the Participant Settings tab, which includes the following options:\n1. **Set Token Length To**: Specify the length of tokens, with a maximum of 35 digits and a minimum of 5.\n2. **Anonymized Responses**: Enable or disable the matching of responses with participant information. If enabled, responses become anonymous, removing identifiable information from the administrator's access.\n3. **Enable Token-Based Response Persistence**: Allows participants to leave the survey and return to the same point later, keeping their previous entries.\n4. **Allow Multiple Responses or Update Responses With One Token**: If activated, participants may return to the survey after submission to either update their existing responses or submit new responses based on anonymity settings.\n5. **Allow Public Registration**: If tokens are used, enabling this option allows visitors to register for participation, creating their entry in the Survey Participants table.\n6. **Use HTML Format For Token Emails**: Controls whether email communications related to token activities are formatted in HTML for enhanced visuals.\n7. **Send Confirmation Emails**: Notifies participants via email upon the successful submission of their survey.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""Can you provide details on how to import a survey in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""To import a survey into LimeSurvey, follow these steps:\n1. Navigate to the 'Surveys' dropdown options on the top toolbar of your LimeSurvey homepage, and select 'Import a survey'.\n2. On the Import tab of the page, click 'Browse' to locate and select the file you want to import.\n3. After selecting the appropriate file, click the 'Import survey' button.\n\nYou can import surveys in various formats, including:\n- LSS files (XML-format from LimeSurvey 1.90 or later)\n- LSA files (Survey archives that may include tokens, responses, and timings from LimeSurvey 2.0 onward)\n- TXT files (Text-format from Excel)\n- CSV files (Formats from early LimeSurvey versions)\n\nThe system intelligently renumbers all related IDs upon import to avoid conflicts with existing surveys, ensuring that no current survey data is overwritten.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What are the actions available for each survey listed in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""In the list of surveys within LimeSurvey, several actions are available for each survey, including:\n1. **General settings & text**: Redirects to the settings interface where you can adjust survey parameters.\n2. **Add a new question**: Quickly navigate to adding questions to the selected survey.\n3. **Statistics**: Display statistical data about the survey responses in simple mode.\n4. **Edit**: Modify settings, groups, or questions associated with the survey (typically represented by an edit icon).\n5. **Delete**: Remove the survey entirely from the system, requiring user confirmation for security.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""How do you delete a survey in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""To delete a survey in LimeSurvey, adhere to these steps:\n1. Go to the 'Surveys' dropdown options on your LimeSurvey homepage and select 'List surveys'.\n2. From the presented list, select the survey(s) you wish to delete by checking the box next to the survey ID.\n3. Click on the 'Selected survey(s)...' button located at the bottom-left of the page.\n4. Choose the 'Delete' option from the dropdown.\n5. A confirmation window will appear. To finalize the deletion, select 'Yes' to confirm your action.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""What formats can a survey be exported in from LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""LimeSurvey allows exporting surveys in several formats to cater to different needs. The available export formats include:\n1. **Survey Archive (*.lsa)**: Contains all survey data, including tokens, responses, and timings, which can be useful for record-keeping or backup.\n2. **Survey Structure (*.lss)**: Exports the structure of the survey without the responses, suitable for cloning or sharing the survey design.\n3. **Printable Survey (*.html)**: Exports the survey in a printable format which can be filled out manually, ideal for offline use. \n\nThese options enable flexibility depending on how the survey data is intended to be utilized.""}]",knowledge/php/limesurvey,1.0,train
"[{""from"": ""human"", ""value"": ""Can you explain how to create a survey group in LimeSurvey?""}, {""from"": ""gpt"", ""value"": ""To create a survey group in LimeSurvey, follow these steps:\n1. Click on 'Surveys' in the main toolbar of the LimeSurvey homepage.\n2. From the dropdown, select the 'Survey groups' tab to access existing groups.\n3. Click on the 'Create a new survey group' button located above the group list.\n4. Fill out the necessary fields:\n   - **Name**: Enter the desired name for the survey group.\n   - **Title**: Specify a title for the group.\n   - **Description**: Provide a short description to define the group's purpose.\n   - **Order**: Organize the group placement among other groups.\n   - **Parent**: If applicable, select a parent survey group to create a hierarchy.\n5. After completing these fields, click 'Save' to establish your new survey group.""}]",knowledge/php/limesurvey,1.0,train
