conversations,source,score,split
"[{""from"": ""human"", ""value"": ""How can I install the Stimulus library in my application?""}, {""from"": ""gpt"", ""value"": ""You can install Stimulus by adding the `@hotwired/stimulus` npm package to your JavaScript bundle or by importing `stimulus.js` in a `<script type='module'>` tag.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""What naming convention should I follow for Stimulus controller files?""}, {""from"": ""gpt"", ""value"": ""You should name your controller files using the format `[identifier]_controller.js`, where `identifier` corresponds to the `data-controller` identifier in your HTML. For example, 'clipboard_controller.js' maps to the identifier 'clipboard'.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""What happens if I use underscores in controller filenames?""}, {""from"": ""gpt"", ""value"": ""If you use underscores in controller filenames, Stimulus will convert each underscore to a dash in its identifier. So 'date_picker_controller.js' would be recognized as 'date-picker'.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""Can I namespace my Stimulus controllers?""}, {""from"": ""gpt"", ""value"": ""Yes, you can namespace your controllers using subfolders. Each forward slash in a namespaced controller file's path becomes two dashes in its identifier.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""What is an example of a namespaced controller file and its identifier?""}, {""from"": ""gpt"", ""value"": ""An example would be a file named 'users/list_item_controller.js', which would have the identifier 'users--list-item'.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""How do I register controllers when using a build system other than Webpack?""}, {""from"": ""gpt"", ""value"": ""You must explicitly load and register each controller with your application instance. For example:\n```js\nimport { Application } from \""@hotwired/stimulus\""\nimport HelloController from \""./controllers/hello_controller\""\nimport ClipboardController from \""./controllers/clipboard_controller\""\n\nwindow.Stimulus = Application.start()\nStimulus.register(\""hello\"", HelloController)\nStimulus.register(\""clipboard\"", ClipboardController)\n```""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""Can I use Stimulus without any build system?""}, {""from"": ""gpt"", ""value"": ""Yes, you can load Stimulus directly in a `<script type='module'>` tag as shown in the following example:\n```html\n<!doctype html>\n<html>\n<head>\n  <meta charset=\""utf-8\"">\n  <script type=\""module\"">\n    import { Application, Controller } from \""https://unpkg.com/@hotwired/stimulus/dist/stimulus.js\""\n    window.Stimulus = Application.start()\n\n    Stimulus.register(\""hello\"", class extends Controller {\n      static targets = [ \""name\"" ]\n      connect() {\n      }\n    })\n  </script>\n</head>\n<body>\n  <div data-controller=\""hello\"">\n    <input data-hello-target=\""name\"" type=\""text\"">\n    \u2026\n  </div>\n</body>\n</html>\n```""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""How do I override Stimulus's default `data-*` attributes?""}, {""from"": ""gpt"", ""value"": ""You can override these attributes when creating the Stimulus `Application`. For example:\n```js\nimport { Application, defaultSchema } from \""@hotwired/stimulus\""\n\nconst customSchema = {\n  ...defaultSchema,\n  actionAttribute: 'data-stimulus-action'\n}\n\nwindow.Stimulus = Application.start(document.documentElement, customSchema);\n```""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""How does Stimulus handle errors in the application code?""}, {""from"": ""gpt"", ""value"": ""All calls from Stimulus to the application's code are wrapped in a `try...catch` block. If an error occurs, it will be logged to the browser console along with details about the controller name and event.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""How can I customize error handling in Stimulus?""}, {""from"": ""gpt"", ""value"": ""You can customize error handling by defining `Application#handleError`. For example:\n```js\nStimulus.handleError = (error, message, detail) => {\n  console.warn(message, detail)\n  ErrorTrackingSystem.captureException(error)\n}\n```""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""Is there a way to enable debugging mode for Stimulus?""}, {""from"": ""gpt"", ""value"": ""Yes, if you have assigned your Stimulus application to `window.Stimulus`, you can turn on debugging mode from the console with `Stimulus.debug = true`.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
"[{""from"": ""human"", ""value"": ""What browsers does Stimulus support?""}, {""from"": ""gpt"", ""value"": ""Stimulus supports all evergreen, self-updating desktop and mobile browsers. However, Stimulus 3+ does not support Internet Explorer 11, while Stimulus 2 can be used with the `@stimulus/polyfills`.""}]",knowledge/js/stimulus_docs/handbook,0.0,train
